eval_id,dataset_source,category,query,ground_truth,relevant_chunk_ids,notes
Q001,OLD,Licensing,Perbedaan izin usaha kecil dan besar?,,,
Q002,NEW,NIB,Apakah KSO atau JO Bisa Memiliki NIB?,,,
Q003,NEW,General,Apa Saja KBLI yang Diwajibkan Bermitra dengan UMKM?,,,
Q004,OLD,Licensing,Apa itu pengawasan perizinan berbasis risiko?,,,
Q005,NEW,Procedure,Bagaimana prosedur: surat pernyataan pencabutan likuidasi?,,,
Q006,NEW,Technical,"Kalau usaha sudah berjalan (operasi produksi) dan tidak ada tambahan realisasi investasi, apakah tetap wajib menyampaikan LKPM?",,,
Q007,NEW,Procedure,Apa yang dimaksud dengan proses penapisan perizinan lingkungan?,,,
Q008,OLD,Procedure,"Usaha perorangan saya mau diubah menjadi CV, bagaimana prosedurnya di OSS?",,,
Q009,NEW,Procedure,Bagaimana prosedur: berapa nilai minimal investasi untuk perusahan penanaman modal asing (pma) langsung?,,,
Q010,OLD,Technical,"Saya khawatir data OSS saya hilang, apa backupnya?",,,
Q011,NEW,Procedure,Bagaimana prosedur: anda juga dapat melihatdokumen daripersyaratan dasardanpernyataan mandiridalam data usaha?,,,
Q012,OLD,Procedure,Bagaimana cara mengurus izin untuk usaha penyewaan alat berat?,,,
Q013,OLD,Procedure,Bagaimana cara membuka kantor cabang di OSS?,,,
Q014,OLD,General,Apa keuntungan memiliki IUMK?,,,
Q015,OLD,General,Siapa penanggung jawab layanan DPMPTSP di daerah?,,,
Q016,NEW,Procedure,Bagaimana cara klik tombol okdan perubahan skala usaha telah berhasil.?,,,
Q017,OLD,Technical,Ada update regulasi OSS terbaru?,,,
Q018,NEW,Technical,Bisakah satu NIK memiliki lebih dari satu akun OSS?,,,
Q019,OLD,General,Apa akibat jika KBLI tidak sesuai?,,,
Q020,OLD,NIB,Sanksi bagi usaha tanpa NIB.,,,
Q021,NEW,Procedure,Apa yang dapat dilakukan: pelaku usaha dapat melakukan proses perizinan berusaha selanjutnya?,,,
Q022,NEW,Technical,Kenapa Kolom Perubahan Nilai Total Akumulasi LKPM Berwarna Abu-abu?,,,
Q023,NEW,NIB,"Bagaimana cara pilih menu nibpada halamandashboarduntuk dapat melihat cetakan pkkpr, persetujuan rkl-rpl rinci, dan izin?",,,
Q024,NEW,Technical,Apa yang terjadi jika tidak melakukan pemenuhan persyaratan dalam 90 hari?,,,
Q025,NEW,Procedure,Bagaimana prosedur: pelaporan badan usaha jasa konstruksi asing (bujka)?,,,
Q026,OLD,Procedure,"Saya salah memasukkan data NPWP saat daftar, bagaimana cara memperbaikinya?",,,
Q027,OLD,General,Apakah DPMPTSP menyediakan layanan terjemahan dokumen untuk investor asing?,,,
Q028,OLD,Technical,Saya ingin tahu update regulasi terbaru tentang OSS.,,,
Q029,OLD,Procedure,Bagaimana cara mengaktifkan kembali izin usaha yang dibekukan?,,,
Q030,OLD,Licensing,Apa keuntungan mengurus izin di MPP?,,,
Q031,NEW,Technical,Adakah Dasar Hukum yang Melarang Perusahaan dengan KBLI Industri Memiliki KBLI Perdagangan Besar?,,,
Q032,OLD,Procedure,Bagaimana OSS mendukung UMKM digital?,,,
Q033,OLD,Procedure,Bagaimana cara mendaftar untuk ikut sosialisasi dari DPMPTSP?,,,
Q034,OLD,Procedure,Prosedur izin usaha kesehatan.,,,
Q035,OLD,General,Apa itu Laporan Kegiatan Penanaman Modal (LKPM)?,,,
Q036,OLD,General,Bisa minta review dokumen di DPMPTSP?,,,
Q037,NEW,Procedure,"Bagaimana prosedur: jika terdapatlebih dari 1perusahaan yang menggabungkan diri (surviving company), makaajukan proses mergeruntukperusahaan selanjutnyadengan klikmenu mergerdanulangi langkah ke-6sampai selesai.?",,,
Q038,NEW,Procedure,Bagaimana prosedur: panduan penambahan kbli?,,,
Q039,OLD,Procedure,Bagaimana DPMPTSP memastikan tidak ada kebocoran data pelaku usaha?,,,
Q040,OLD,Procedure,Bagaimana cara mengurus Izin Pengelolaan Limbah B3?,,,
Q041,OLD,Licensing,Syarat izin pendirian yayasan?,,,
Q042,OLD,Support,Apakah DPMPTSP menyediakan layanan konsultasi tatap muka?,,,
Q043,NEW,Technical,Bisakah SBU yang Sudah Terbit Digunakan untuk Pemenuhan Persyaratan di KBLI yang Berbeda?,,,
Q044,NEW,Procedure,Bagaimana cara klik proses permohonanuntuk melanjutkan?,,,
Q045,NEW,Procedure,"Bagaimana prosedur: selanjutnya anda dapatmelihat, mengunduh, dan mencetakproduk perizinan berusaha umku tersebut.?",,,
Q046,OLD,NIB,Apakah IUMK sama dengan NIB?,,,
Q047,NEW,Procedure,Bagaimana prosedur: pemrosesan persetujuan izin oleh administrator kek dan badan pengusahaan kpbpb?,,,
Q048,NEW,Procedure,Bagaimana cara klik proses permohonan?,,,
Q049,NEW,Licensing,Apa yang terjadi: status perizinan berubah menjadi “skpbki telah disetujui dan permohonan disetujui” dan pada laman oss menjadi berikut:?,,,
Q050,OLD,Procedure,Bagaimana cara mengurus izin untuk usaha katering rumahan?,,,
