query_id,dataset_source,category,difficulty,query_text,answer_preview,is_correct,confidence_score,response_time_seconds,total_tokens,prompt_tokens,completion_tokens,num_retrieved,precision,recall,f1_score,confident_wrong,model_name,system_name,scored_at
old_51,OLD,Licensing,,Perbedaan izin usaha kecil dan besar?,"Maaf, waktu pencarian telah habis untuk pertanyaan ""Perbedaan izin usaha...",,0.5,29.357249975204468,0,0,0,,,,,,unknown,,
new_180,NEW,NIB,,Apakah KSO atau JO Bisa Memiliki NIB?,Kerjasama Operasional (KSO) atau Joint Operation (JO) bukan merupakan bentuk...,True,0.67,23.939765691757202,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:12:45.865126
new_207,NEW,General,,Apa Saja KBLI yang Diwajibkan Bermitra dengan UMKM?,Untuk mengetahui daftar KBLI (Klasifikasi Baku Lapangan Usaha Indonesia)...,False,0.81,17.771344423294067,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:14:00.823586
old_297,OLD,Licensing,,Apa itu pengawasan perizinan berbasis risiko?,"Maaf, waktu pencarian telah habis untuk pertanyaan ""Apa itu pengawasan...",,0.5,22.885188102722168,0,0,0,,,,,,unknown,,
new_291,NEW,Technical,,"Kalau usaha sudah berjalan (operasi produksi) dan tidak ada tambahan realisasi investasi, apakah tetap wajib menyampaikan LKPM?",### Jawaban tentang Kewajiban Melaporkan LKPM  **Pertanyaan:** Kalau usaha...,True,0.91,14.985155582427979,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:14:51.204775
new_263,NEW,Procedure,,Apa yang dimaksud dengan proses penapisan perizinan lingkungan?,Proses penapisan perizinan lingkungan adalah salah satu tahapan penting...,True,0.67,29.914570331573486,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:15:34.435350
old_268,OLD,Procedure,,"Usaha perorangan saya mau diubah menjadi CV, bagaimana prosedurnya di OSS?","Maaf, waktu pencarian telah habis untuk pertanyaan ""Usaha perorangan saya...",,0.5,22.07207679748535,0,0,0,,,,,,unknown,,
new_311,NEW,Procedure,,Bagaimana prosedur: berapa nilai minimal investasi untuk perusahan penanaman modal asing (pma) langsung?,Untuk mengetahui nilai minimal investasi untuk perusahaan penanaman modal...,True,0.74,17.931033611297607,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:16:18.717429
old_311,OLD,Technical,,"Saya khawatir data OSS saya hilang, apa backupnya?","Untuk menanggapi khawatir Anda tentang hilangnya data OSS, berikut adalah...",True,0.62,25.530945301055908,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:17:07.105605
new_85,NEW,Procedure,,Bagaimana cara melihat dokumen persyaratan dasar dan pernyataan mandiri dalam data usaha?,Untuk melihat dokumen persyaratan dasar dan pernyataan mandiri dalam data...,True,0.77,17.832145929336548,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:18:05.365227
old_304,OLD,Procedure,,Bagaimana cara mengurus izin untuk usaha penyewaan alat berat?,"Maaf, waktu pencarian telah habis untuk pertanyaan ""Bagaimana cara mengurus...",,0.5,23.45917558670044,0,0,0,,,,,,unknown,,
old_182,OLD,Procedure,,Bagaimana cara membuka kantor cabang di OSS?,Untuk membuka kantor cabang di Jawa Tengah melalui Sistem OSS (Online Single...,True,0.61,24.659748792648315,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:18:56.362939
old_164,OLD,General,,Apa keuntungan memiliki IUMK?,Izin Usaha Mikro dan Kecil (IUMK) adalah izin yang dikeluarkan oleh...,True,0.62,21.771039485931396,0,0,0,,0.0,0.0,,,unknown,,2025-10-25T11:19:55.033169
