"ID","Query","Ground_Truth"
"Q1","﻿Bagaimana cara melakukan perpanjangan perizinan berusaha pada OSS?",""
"Q2","Apa itu Nomor Induk Kepabeanan (NIK)?",""
"Q3","Apa peran pemerintah daerah dalam verifikasi perizinan di OSS RBA?",""
"Q4","Bagaimana cara cek NIB? Apakah NIB ini valid/terdaftar? Apakah NIB ini aktif?",""
"Q5","Bagaimana prosedur: 1. kenapa peta/map tidak muncul saat pengisian data usaha? 2. kami tidak bisa mengisi kolom garis lintang dan bujur?",""
"Q6","Bagaimana prosedur: saya tidak bisa ubah nomor hp perorangan melalui profil karena kode verifikasi dikirim ke nomor hp lama yang sudah tidak aktif?",""
"Q7","1. Kenapa Saat Cek RDTR Muncul Notifikasi Kegiatan Usaha Tidak Sesuai RDTR? 2. Kenapa saat tambah KBLI muncul notifikasi kegiatan usaha tidak sesuai Rencana Detail Tata Ruang?",""
"Q8","Apa saja jenis badan usaha yang termasuk badan hukum?",""
"Q9","Bagaimana cara lapor keluhan ke DPMPTSP?",""
"Q10","Apa yang dimaksud dengan PBG dan SLF?",""
"Q11","Bagaimana cara menambahkan kegiatan usaha baru pada NIB yang ada?",""
"Q12","Bagaimana cara mengurus Izin Lokasi melalui OSS?",""
"Q13","Apakah terdapat ketentuan nilai investasi bagi PMA untuk kegiatan usaha pembangunan dan pengusahaan stasiun pengisian kendaraan listrik umum?",""
"Q14","Bagaimana cara pilih menu nib, pelaku usaha dapat melihat dan unduh cetakan dengan klik â€œunduh nibâ€?",""
"Q15","Bagaimana cara menghapus PB UMKU?",""
"Q16","Apakah ada batasan modal untuk usaha mikro?",""
"Q17","Bagaimana cara mengajukan ulang permohonan yang ditolak?",""
"Q18","Apakah Peraturan BKPM Nomor 4 Tahun 2021 masih aktif?",""
"Q19","Apakah izin usaha online berlaku nasional?",""
"Q20","Bagaimana prosedur: menghapus akun oss mobile apps?",""
"Q21","Bagaimana cara membersihkan cache browser agar OSS berjalan lancar?",""
"Q22","Apakah NIB bisa langsung digunakan untuk operasional usaha?",""
"Q23","Kenapa permohonan izin saya ditolak?",""
"Q24","Bagaimana prosedur: panduan ubah email akun oss yang tidak aktif untuk badan usaha?",""
"Q25","Bagaimana langkah mengisi LKPM?",""
"Q26","Apa sanksi jika tidak melakukan penyesuaian izin lama ke OSS RBA?",""
"Q27","Apa itu DPMPTSP?",""
"Q28","Bagaimana cara mengajukan fasilitas fiskal tersebut?",""
"Q29","Apakah NIB memiliki masa berlaku?",""
"Q30","Bagaimana konsultasi OSS secara online?",""
"Q31","Di mana alamat Kementerian Investasi dan Hilirisasi/BKPM?",""
"Q32","Bagaimana prosedur: cetakan surat pernyataan pencabutan(klik surat pernyataan pencabutan).?",""
"Q33","Apakah diperbolehkan jika luas tanah lebih besar dibanding luas bangunan untuk pengajuan PKKPR?",""
"Q34","Bagaimana cara mendapatkan SBU dan apakah terintegrasi dengan OSS?",""
"Q35","Bagaimana prosedur: nib terbit dan sertifikat standar terbit otomatis?",""
"Q36","Kapan waktu terbaik datang ke DPMPTSP?",""
"Q37","Bagaimana Cara Ubah Nama Perusahaan?",""
"Q38","Apa fungsi menu ""Permohonan Baru"" di OSS?",""
"Q39","Bagaimana mengedit data usaha jika salah input?",""
"Q40","Apakah ada jalur cepat pengurusan izin?",""
"Q41","Berapa lama proses pencabutan izin usaha?",""
"Q42","Bagaimana cara mendapat info pelatihan OSS dari DPMPTSP?",""
"Q43","Bagaimana prosedur: pilihlihat resume,maka sistem akan menampilkandetail resume perizinan berusahayang pernah dilakukan?",""
"Q44","Apakah perubahan penanggung jawab teknis mempengaruhi persyaratan dasar yang sudah terbit?",""
"Q45","Apa itu sumber pembiayaan pada isian data di Sistem OSS?",""
"Q46","Apa yang dapat dilakukan: anda dapat melihat,mengunduh,danmencetakproduk perizinan berusaha tersebut.?",""
"Q47","Apakah OSS terintegrasi dengan sistem Ketenagakerjaan (Wajib Lapor Ketenagakerjaan)?",""
"Q48","Prosedur izin untuk usaha laundry kiloan.",""
"Q49","Apa bedanya PT Perorangan dengan usaha perorangan biasa?",""
"Q50","Website resmi DPMPTSP itu apa?",""
"Q51","Apa keuntungan berusaha di KEK?",""
"Q52","Bagaimana cara pencabutan KPPA?",""
"Q53","Bagaimana prosedur: panduan login oss indonesia?",""
"Q54","Bagaimana prosedur: pencarian data profil pelaku usaha melalui oss rba (opd)?",""
"Q55","Apakah PT Perseorangan perlu memiliki akta? Apakah PT Perorangan perlu memiliki akta? Apakah PT Perorangan perlu memiliki akta? Apakah Perseroan Perorangan perlu memiliki akta?",""
"Q56","Bagaimana cara perpanjangan PKKPR 181?",""
"Q57","Bagaimana perizinan untuk usaha yang sepenuhnya beroperasi secara online?",""
"Q58","Bagaimana izin usaha untuk ekspor-impor?",""
