eval_id,query,dataset_source,category,ground_truth,relevant_chunk_ids,notes
Q001,Perbedaan izin usaha kecil dan besar?,OLD,Licensing,"Usaha kecil menggunakan IUMK (Izin Usaha Mikro Kecil) yang diperuntukkan bagi UMKM sebagaimana didefinisikan dalam UU No. 20 Tahun 2008 yang telah diubah dengan UU No. 11 Tahun 2020. IUMK memiliki prosedur yang lebih sederhana dan tidak memerlukan persyaratan yang kompleks. Sedangkan usaha besar menggunakan NIB (Nomor Induk Berusaha) melalui sistem OSS yang mencakup perizinan berusaha terintegrasi secara elektronik dengan persyaratan yang lebih lengkap sesuai UU No. 25 Tahun 2007 tentang Penanaman Modal. Perbedaan utama terletak pada skala usaha, modal, dan kompleksitas persyaratan perizinan.","7294, 7168, 7241, 7238, 7446",
Q002,Apakah KSO atau JO Bisa Memiliki NIB?,NEW,NIB," KSO (Kerja Sama Operasi) atau JO (Joint Operation) dapat memiliki NIB dengan ketentuan khusus. Berdasarkan regulasi yang berlaku, KSO/JO harus memenuhi persyaratan sebagai bentuk kerja sama antar pihak yang sah dengan perjanjian tertulis. Dalam hal KBLI meliputi lebih dari satu bidang usaha, ketentuan persyaratan berlaku sesuai dengan bidang usaha yang tercantum. KSO/JO perlu mendaftarkan perjanjian kerja sama dan memenuhi komitmen perizinan berusaha melalui sistem OSS untuk mendapatkan NIB.","7019, 7035, 7304, 7082, 7165",
Q003,Apa Saja KBLI yang Diwajibkan Bermitra dengan UMKM?,NEW,General,"KBLI yang diwajibkan bermitra dengan UMKM diatur dalam regulasi khusus tentang kemitraan. Kewajiban bermitra dengan UMKM umumnya berlaku untuk bidang usaha tertentu yang memiliki dampak signifikan terhadap ekonomi lokal dan pemberdayaan UMKM. Daftar lengkap KBLI yang diwajibkan bermitra dengan UMKM dapat dilihat dalam lampiran peraturan terkait kemitraan usaha, yang mencakup sektor-sektor strategis seperti perdagangan, industri pengolahan, dan jasa tertentu sesuai Klasifikasi Baku Lapangan Usaha Indonesia.","7478, 7087, 7294",
Q004,Apa itu pengawasan perizinan berbasis risiko?,OLD,Licensing,"Pengawasan perizinan berbasis risiko adalah sistem pengawasan yang mengklasifikasikan pelaku usaha berdasarkan tingkat risiko kegiatan usahanya. Sistem ini membagi usaha ke dalam kategori risiko rendah, menengah, dan tinggi. Usaha dengan risiko tinggi akan mendapat pengawasan lebih intensif, sementara usaha risiko rendah mendapat pengawasan yang lebih ringan. Pendekatan ini memungkinkan pemerintah mengalokasikan sumber daya pengawasan secara efisien dan proporsional sesuai dengan potensi dampak dari kegiatan usaha terhadap kepentingan umum, keselamatan, dan lingkungan.","7068, 6975, 7061",
Q005,Bagaimana prosedur: surat pernyataan pencabutan likuidasi?,NEW,Procedure,"Prosedur surat pernyataan pencabutan likuidasi dilakukan melalui sistem OSS dengan langkah-langkah sebagai berikut: 1) Pelaku usaha mengajukan permohonan pencabutan likuidasi melalui dashboard OSS, 2) Menyiapkan surat pernyataan pencabutan likuidasi yang ditandatangani oleh pihak berwenang dari badan usaha, 3) Mengunggah dokumen pendukung yang diperlukan, 4) Mengisi formulir perubahan data usaha di sistem OSS, 5) Submit permohonan dan menunggu verifikasi dari sistem. Setelah disetujui, status perusahaan akan berubah dari likuidasi menjadi aktif kembali.","7304, 7223, 7298",
Q006,"""""Kalau usaha sudah berjalan (operasi produksi) dan tidak ada tambahan realisasi investasi, apakah tetap wajib menyampaikan LKPM?""""",NEW,Technical,"Ya, tetap wajib menyampaikan LKPM (Laporan Kegiatan Penanaman Modal) meskipun usaha sudah berjalan dan tidak ada tambahan realisasi investasi. LKPM merupakan kewajiban pelaporan berkala yang harus disampaikan oleh pelaku usaha penanam modal untuk melaporkan perkembangan kegiatan usaha, termasuk operasional produksi, tenaga kerja, dan realisasi investasi yang telah dilakukan. Pelaporan LKPM tetap diperlukan untuk monitoring dan evaluasi kegiatan penanaman modal, meskipun tidak ada penambahan investasi baru pada periode pelaporan tersebut.","7061, 6975, 7266, 7283",
Q007,Apa yang dimaksud dengan proses penapisan perizinan lingkungan?,NEW,Procedure,"Proses penapisan (screening) perizinan lingkungan adalah tahapan awal dalam perizinan lingkungan untuk menentukan apakah suatu kegiatan usaha memerlukan dokumen lingkungan seperti AMDAL, UKL-UPL, atau SPPL. Penapisan dilakukan berdasarkan jenis usaha, skala/besaran usaha, dan lokasi kegiatan. Melalui proses ini, sistem akan mengidentifikasi tingkat dampak lingkungan dari rencana usaha dan menentukan jenis dokumen lingkungan yang harus dipenuhi. Hasil penapisan akan menentukan persyaratan lingkungan yang harus dilengkapi sebelum mendapatkan persetujuan lingkungan.","7445, 7416, 7068",
Q008,"""""Usaha perorangan saya mau diubah menjadi CV, bagaimana prosedurnya di OSS?""""",OLD,Procedure,"Prosedur perubahan usaha perorangan menjadi CV di OSS adalah: 1) Login ke akun OSS dengan NIB usaha perorangan yang ada, 2) Pilih menu Perubahan Data Usaha, 3) Ubah bentuk badan usaha dari Perorangan menjadi CV (Commanditaire Vennootschap), 4) Lengkapi data CV seperti nama CV, akta pendirian CV, susunan pengurus, dan modal dasar, 5) Unggah dokumen persyaratan termasuk akta pendirian CV yang telah dilegalisasi, 6) Submit permohonan perubahan. Setelah diverifikasi, NIB akan diperbarui dengan status badan usaha CV. Pastikan akta pendirian CV sudah disiapkan terlebih dahulu sebelum melakukan perubahan di OSS.","7304, 7298, 7082",
Q009,Bagaimana prosedur: berapa nilai minimal investasi untuk perusahan penanaman modal asing (pma) langsung?,NEW,Procedure,"Nilai minimal investasi untuk Perusahaan Penanaman Modal Asing (PMA) langsung diatur dalam peraturan penanaman modal. Berdasarkan UU No. 25 Tahun 2007 tentang Penanaman Modal dan regulasi turunannya, nilai minimal investasi PMA umumnya ditetapkan sebesar Rp 10 miliar (di luar tanah dan bangunan), kecuali untuk bidang usaha tertentu yang memiliki ketentuan khusus. Nilai ini dapat berbeda tergantung sektor usaha dan lokasi investasi. PMA juga harus memenuhi persyaratan komposisi modal asing dan ketentuan kemitraan dengan UMKM untuk bidang usaha tertentu.","7438, 7425, 7238",
Q010,"""""Saya khawatir data OSS saya hilang, apa backupnya?""""",OLD,Technical,"Data OSS Anda aman dan memiliki sistem backup yang terjamin. Sistem OSS menggunakan infrastruktur cloud dengan backup otomatis dan redundansi data untuk memastikan keamanan informasi pelaku usaha. Data disimpan di server yang terproteksi dengan enkripsi dan dilakukan backup berkala. Jika Anda khawatir, Anda dapat: 1) Mengunduh dan menyimpan salinan NIB dan dokumen perizinan Anda secara berkala, 2) Mencetak dokumen penting sebagai arsip fisik, 3) Menyimpan screenshot dashboard dan data penting. Sistem OSS juga memiliki fitur recovery data jika terjadi masalah teknis. Untuk keamanan tambahan, pastikan akun OSS Anda menggunakan password yang kuat dan tidak dibagikan kepada pihak lain.","7450, 7052, 7058",
